iter	Logloss
0	0.6622430125
1	0.6347172755
2	0.6147779977
3	0.5987227864
4	0.58548984
5	0.5743781176
6	0.5658072134
7	0.5576137037
8	0.5511827636
9	0.5449787047
10	0.5392238712
11	0.5350422788
12	0.532357083
13	0.5283879398
14	0.5247476706
15	0.5230231282
16	0.5205959984
17	0.5186484282
18	0.5163662589
19	0.5132163326
20	0.511231901
21	0.5092902379
22	0.5076111488
23	0.5065253726
24	0.5051651727
25	0.5037343905
26	0.5026873248
27	0.5017460006
28	0.5007897621
29	0.499789991
30	0.4990970903
31	0.498128998
32	0.4975170328
33	0.4969934124
34	0.4957502801
35	0.4952869835
36	0.4943303356
37	0.4934807478
38	0.4923985795
39	0.491854115
40	0.4909201862
41	0.4899530293
42	0.4891507294
43	0.4888872367
44	0.4881769817
45	0.4870323011
46	0.4868066121
47	0.4858968315
48	0.4852666998
49	0.485047921
50	0.4849339327
51	0.4845507763
52	0.484274515
53	0.4834004623
54	0.4829607099
55	0.4824632033
56	0.4821641997
57	0.4819224484
58	0.4816368133
59	0.4814659679
60	0.4811870123
61	0.4808943457
62	0.4806257335
63	0.4799143367
64	0.4797400606
65	0.4795597019
66	0.4793083894
67	0.4788635113
68	0.4788050179
69	0.4784458331
70	0.4781007966
71	0.4776928143
72	0.4773301881
73	0.477315576
74	0.4766810956
75	0.4765850405
76	0.4763197219
77	0.4755455555
78	0.4754189249
79	0.4752778834
80	0.4751557215
81	0.4750673707
82	0.4747774755
83	0.4746164161
84	0.4744778134
85	0.4739626457
86	0.4739239367
87	0.4734897837
88	0.4734471594
89	0.47329684
90	0.4731780158
91	0.4730163485
92	0.473009784
93	0.4728386766
94	0.4726771582
95	0.4726635605
96	0.4725597038
97	0.4721202225
98	0.4721203638
99	0.4716805469
100	0.471614802
101	0.4715304671
102	0.4715281333
103	0.4714566947
104	0.4713957273
105	0.470985025
106	0.4707309085
107	0.4706098685
108	0.4705802901
109	0.4704828388
110	0.4704771094
111	0.4704116932
112	0.4704022451
113	0.4704020851
114	0.4703967397
115	0.4703911824
116	0.4703869271
117	0.4702997893
118	0.4702392225
119	0.4702077515
120	0.4701682427
121	0.4701465754
122	0.470036151
123	0.4700170964
124	0.4699194351
125	0.4697528411
126	0.4697244549
127	0.4696175136
128	0.4693997568
129	0.4692173619
130	0.4691922145
131	0.4691758271
132	0.4689693508
133	0.4688790216
134	0.4687192711
135	0.4685090199
136	0.46837135
137	0.4682034135
138	0.4680589105
139	0.4679479422
140	0.4679056837
141	0.4676014707
142	0.4675400159
143	0.4674522232
144	0.4674131398
145	0.4673359281
146	0.4672349654
147	0.4671383387
148	0.4670497805
149	0.4669844889
150	0.4669643724
151	0.4669379728
152	0.4668486434
153	0.4667578196
154	0.466708569
155	0.4665916918
156	0.466538054
157	0.4665007852
158	0.4664006086
159	0.4661743149
160	0.466070337
161	0.4660572471
162	0.4660520328
163	0.4659948381
164	0.465831478
165	0.4657055779
166	0.4656550453
167	0.4655336354
168	0.4653641936
169	0.4652274749
170	0.4651019139
171	0.4650568593
172	0.4650387439
173	0.4650339304
174	0.4650092875
175	0.46500363
176	0.4649425769
177	0.4649086056
178	0.4649036067
179	0.464896737
180	0.4648741576
181	0.4648407809
182	0.4648321896
183	0.4647963012
184	0.4647884884
185	0.464735564
186	0.464705232
187	0.4646958951
188	0.4646900976
189	0.4646795022
190	0.4646731224
191	0.4646679713
192	0.4646608227
193	0.4646291267
194	0.4646121686
195	0.464605984
196	0.4645747148
197	0.4645460391
198	0.46454146
199	0.4644379751
